"","X","FirstName","LastName","FullName","Team","Year","Position","Round","SuperCoachScore","Rank","Injured","Number","Marks","Handballs","Disposals","Goals","Behinds","Hitouts","Tackles","Rebounds50s","Inside50s","Clearances","Clangers","FreesFor","FreesAgainst","BrownlowVotes","ContestedPossessions","UncontestedPossessions","ContestedMarks","MarksInside50","OnePercenters","Bounces","GoalAssists","PercentagePlayed","PointDifference","BrownlowBinary","Pairs"
"1",1,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",20,51,38,0,10,5,2,8,1,0,0,2,0,0,0,2,1,1,0,3,5,0,2,4,0,0,84,-66,0,170
"2",2,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",18,86,12,0,10,7,7,16,0,1,0,2,2,1,0,2,1,0,0,9,7,4,2,5,0,0,78,-37,0,151
"3",3,"Aaron","Francis","Francis, Aaron","Essendon",2016,"Key defender",19,42,40,0,10,0,2,7,0,1,0,1,1,0,1,1,3,1,0,6,2,0,0,7,0,0,76,-82,0,162
"4",4,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",23,104,6,0,33,3,7,27,0,0,0,5,0,5,3,1,0,0,0,6,22,0,0,2,0,2,80,-23,0,195
"5",5,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",22,106,8,0,33,3,11,26,0,1,0,5,4,6,7,0,3,0,0,12,12,0,0,1,2,0,80,-71,0,185
"6",6,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",4,114,5,0,33,4,11,26,1,3,0,7,2,6,3,3,1,1,0,12,15,0,1,0,1,0,87,-13,0,31
"7",7,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",2,124,3,0,33,11,15,32,0,0,0,4,3,3,3,6,2,2,3,8,27,0,0,2,0,0,80,26,1,15
"8",8,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",11,52,38,0,33,0,7,19,0,1,0,2,0,4,2,2,0,0,0,5,14,0,0,0,0,0,86,-38,0,95
"9",9,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",6,76,19,0,33,5,10,28,0,1,0,4,2,2,3,4,1,0,0,12,15,0,0,0,0,0,79,-120,0,50
"10",10,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",3,134,2,0,33,6,13,40,1,2,0,4,3,7,2,5,2,0,3,9,31,0,1,0,0,2,78,54,1,23
"11",11,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",8,84,17,0,33,4,13,32,0,0,0,1,6,4,2,5,1,1,0,7,25,0,0,0,0,0,85,-91,0,67
"12",12,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",16,94,9,0,33,3,9,29,0,1,0,6,0,8,7,7,1,2,0,13,17,0,0,2,2,1,77,26,0,130
"13",13,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",10,68,25,0,33,7,6,20,1,1,4,3,1,5,1,1,0,0,0,2,18,0,0,0,0,0,73,-77,0,90
"14",14,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",1,129,3,0,33,4,17,36,2,1,0,3,1,9,4,2,0,1,3,11,25,0,0,1,1,0,77,61,1,3
"15",15,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",15,118,4,0,33,6,9,27,2,2,0,3,3,7,2,4,2,1,2,7,20,1,0,2,2,0,77,40,1,123
"16",16,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",21,87,12,0,33,4,9,29,0,0,2,4,1,6,3,3,0,0,0,10,20,0,0,1,0,1,78,-6,0,178
"17",17,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",7,95,7,0,33,4,10,21,1,0,0,7,2,5,3,2,1,1,0,8,14,0,1,0,2,2,85,-73,0,59
"18",18,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",5,90,13,0,33,3,16,32,0,0,0,1,1,5,2,2,1,0,0,9,23,0,0,0,0,0,77,-38,0,39
"19",19,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",14,71,22,0,33,6,7,20,0,1,0,3,0,4,1,2,2,0,0,5,15,0,0,0,0,1,73,-26,0,120
"20",20,"Aaron","Hall","Hall, Aaron","Gold Coast",2016,"Outside midfielder",17,78,19,0,33,6,10,29,0,3,1,1,5,4,4,3,2,1,0,7,22,0,0,2,0,1,80,-48,0,140
"21",21,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",18,48,37,0,17,0,4,10,0,0,0,4,1,2,1,3,0,1,0,4,6,0,0,6,1,0,70,40,0,145
"22",22,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",12,56,28,0,17,4,1,13,0,1,0,0,4,3,1,3,0,2,0,1,12,0,0,1,0,1,79,-31,0,103
"23",23,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",13,84,16,0,17,2,4,21,0,2,0,1,1,4,2,1,2,0,0,10,10,0,0,0,0,0,79,-9,0,109
"24",24,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",7,59,37,0,17,6,2,16,0,0,0,1,4,2,1,2,0,0,0,5,11,0,0,2,0,0,74,7,0,62
"25",25,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",20,66,29,0,17,7,5,17,0,1,0,1,3,1,0,0,1,0,0,3,14,0,0,1,0,0,71,-14,0,167
"26",26,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",8,52,35,0,17,2,7,19,0,1,0,1,2,1,0,1,0,0,0,1,17,0,0,0,0,0,75,14,0,65
"27",27,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",19,65,26,0,17,3,8,13,1,1,0,4,0,2,1,0,0,0,0,1,13,0,1,1,1,0,73,23,0,158
"28",28,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",16,38,41,0,17,1,4,12,0,0,0,2,1,4,0,2,0,2,0,1,12,0,0,2,0,0,87,-32,0,134
"29",29,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",22,51,34,0,17,4,6,14,0,0,0,4,1,0,0,1,0,0,0,5,9,0,0,0,0,0,81,-9,0,182
"30",30,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",23,106,8,0,17,6,9,28,0,0,0,2,4,3,0,1,1,0,0,6,20,0,0,2,4,0,85,-37,0,194
"31",31,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",21,47,39,0,17,2,4,9,0,0,0,3,3,0,0,2,2,1,0,4,5,0,0,1,0,0,72,-39,0,174
"32",32,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",17,56,34,0,17,1,3,13,0,0,0,0,4,2,1,1,1,0,0,5,8,0,0,0,1,0,76,-28,0,139
"33",33,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",14,59,31,0,17,4,4,18,0,0,0,2,5,1,1,1,0,0,0,4,9,1,0,2,0,0,86,-33,0,115
"34",34,"Aaron","Mullett","Mullett, Aaron","North Melbourne",2016,"General defender",9,68,26,0,17,4,5,20,0,0,0,2,4,5,3,2,1,0,0,6,12,0,0,0,0,0,78,67,0,77
"35",35,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",3,27,44,0,31,0,3,3,0,0,11,0,0,0,0,1,1,1,0,2,1,0,0,2,0,0,26,-33,0,24
"36",36,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",2,108,7,0,31,2,5,6,0,0,48,2,0,1,2,2,0,1,0,5,2,1,0,3,0,1,88,-26,0,15
"37",37,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",23,105,6,0,31,3,10,15,0,1,35,3,2,2,5,4,4,2,0,14,2,2,1,3,0,1,85,20,0,198
"38",38,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",21,52,37,0,31,1,4,5,0,0,28,1,1,2,1,3,0,2,0,4,1,0,0,4,0,0,51,-72,0,180
"39",39,"Aaron","Sandilands","Sandilands, Aaron","Fremantle",2016,"Ruck",20,62,32,0,31,4,10,12,0,0,23,2,0,1,2,4,0,3,0,8,4,1,0,3,0,0,79,-46,0,171
"40",40,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",17,61,33,0,37,0,8,12,1,0,1,1,1,2,1,1,0,1,0,7,5,0,0,0,0,1,87,-36,0,143
"41",41,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",19,105,3,0,37,6,10,18,3,2,0,5,0,3,0,4,1,1,0,8,10,2,3,2,0,0,79,2,0,160
"42",42,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",13,54,35,0,37,1,7,13,0,0,0,3,2,3,3,1,0,1,0,9,6,0,0,0,0,0,82,-55,0,113
"43",43,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",1,65,29,0,37,3,9,17,2,0,0,1,0,6,1,4,0,0,0,7,11,2,1,0,0,0,85,2,0,2
"44",44,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",2,56,32,0,37,2,10,15,0,0,0,1,1,2,2,1,2,1,0,10,5,1,0,1,0,0,85,-13,0,12
"45",45,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",3,55,34,0,37,2,4,8,1,1,0,4,0,1,0,0,0,0,0,4,4,0,1,3,0,1,83,-5,0,25
"46",46,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",16,85,16,0,37,3,14,22,1,2,0,5,0,6,2,5,0,4,0,9,14,0,1,0,0,1,81,32,0,132
"47",47,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",15,56,35,0,37,2,13,17,0,0,0,8,1,1,2,4,1,2,0,7,9,0,0,1,0,0,69,-22,0,126
"48",48,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",21,50,33,0,37,3,4,10,0,1,0,6,0,3,2,2,0,1,0,4,7,0,0,0,0,2,80,40,0,177
"49",49,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",11,45,41,0,37,2,5,10,1,1,0,3,0,1,0,2,0,1,0,3,7,1,1,0,0,0,79,-18,0,92
"50",50,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",12,54,35,0,37,6,13,18,0,0,0,5,2,4,0,6,0,2,0,3,15,0,0,1,0,1,77,46,0,108
"51",51,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",23,63,28,0,37,4,11,16,1,0,0,3,1,3,2,5,0,3,0,8,8,1,2,2,1,0,78,-111,0,191
"52",52,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",22,77,17,0,37,3,8,15,1,2,0,3,0,3,0,0,0,0,0,7,8,0,2,2,0,0,82,-20,0,187
"53",53,"Aaron","Vandenberg","Vandenberg, Aaron","Melbourne",2016,"General forward",20,63,23,0,37,6,9,14,1,0,0,2,0,3,0,0,2,0,0,5,10,0,0,1,0,0,81,29,0,165
"54",54,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",5,65,24,0,40,3,9,13,0,1,0,2,0,1,1,1,0,1,0,5,8,0,0,1,0,0,78,-48,0,41
"55",55,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",22,57,32,0,40,5,4,8,3,0,0,1,0,1,0,1,1,1,0,3,6,0,2,0,0,0,89,-15,0,186
"56",56,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",4,59,30,0,40,1,5,9,2,0,0,1,1,0,1,1,2,1,0,4,5,0,0,0,0,1,81,-86,0,34
"57",57,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",8,95,10,0,40,1,10,17,1,2,0,3,1,1,4,1,1,0,0,13,4,1,0,0,0,2,84,-2,0,70
"58",58,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",3,101,6,0,40,4,9,18,3,1,0,2,3,1,0,1,0,0,0,7,10,1,2,2,0,0,81,61,0,19
"59",59,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",20,70,24,0,40,5,13,22,0,1,0,4,4,5,2,3,0,0,0,9,13,0,0,1,0,0,87,-67,0,164
"60",60,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",16,74,26,0,40,2,7,14,0,0,0,4,0,3,0,1,2,0,0,7,7,1,0,1,1,1,82,-22,0,127
"61",61,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",17,94,8,0,40,6,10,21,2,2,0,3,0,1,3,1,4,1,1,10,10,1,2,0,1,2,88,28,1,139
"62",62,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",10,86,16,0,40,3,6,17,2,2,0,3,0,5,2,1,0,0,0,6,11,1,1,1,0,1,73,45,0,84
"63",63,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",19,94,13,0,40,9,10,22,1,5,0,6,0,3,1,5,0,2,2,6,15,0,4,1,1,1,91,94,1,159
"64",64,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",23,39,41,0,40,3,1,8,1,3,0,3,0,3,0,2,1,2,0,2,6,1,1,0,0,0,86,23,0,195
"65",65,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",11,102,6,0,40,5,11,24,4,1,0,2,0,4,0,3,1,1,2,9,16,0,1,2,0,0,88,67,1,97
"66",66,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",9,118,3,0,40,6,8,21,4,1,0,6,0,2,1,2,2,0,0,9,12,0,3,3,0,1,81,-8,0,76
"67",67,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",6,66,30,0,40,5,7,11,2,0,0,5,0,1,1,2,0,2,0,2,9,0,2,1,0,1,78,35,0,51
"68",68,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",13,44,39,0,40,2,9,14,0,2,0,2,1,0,1,4,0,2,0,5,9,0,1,0,0,0,84,-17,0,111
"69",69,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",21,48,35,0,40,2,3,8,2,0,0,3,1,0,1,2,0,0,0,2,6,0,0,1,0,0,83,-40,0,177
"70",70,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",7,103,10,0,40,0,10,18,3,0,0,3,1,1,2,2,1,1,0,10,7,0,0,0,0,1,68,77,0,63
"71",71,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",15,90,13,0,40,5,6,14,1,1,0,10,4,3,0,3,1,2,0,7,7,1,0,0,0,0,82,38,0,122
"72",72,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",2,94,9,0,40,2,9,21,4,2,2,2,0,3,3,2,2,1,0,9,12,2,1,0,0,1,72,-58,0,11
"73",73,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",18,67,27,0,40,3,4,14,0,0,0,7,1,2,2,5,1,3,0,8,7,1,0,0,1,0,79,-19,0,153
"74",74,"Aaron","Young","Young, Aaron","Port Adelaide",2016,"General forward",12,81,17,0,40,3,12,22,2,1,0,4,0,2,2,5,3,2,0,7,16,0,1,2,0,0,76,-3,0,101
"75",75,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",8,102,8,0,17,5,17,33,1,1,0,3,1,4,2,4,0,1,0,9,26,0,0,1,0,1,78,-14,0,65
"76",76,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",1,48,39,0,17,4,7,14,0,0,0,3,1,4,0,2,2,1,0,6,8,0,0,0,0,0,82,-61,0,3
"77",77,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",7,56,34,0,17,3,9,17,0,0,1,3,2,1,0,4,0,1,0,5,11,0,0,1,0,0,81,-81,0,58
"78",78,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",13,92,10,0,17,12,7,25,0,2,0,5,3,5,4,5,0,0,3,7,19,0,0,0,0,1,73,-27,1,114
"79",79,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",9,118,4,0,17,6,13,26,1,1,0,4,3,3,3,1,0,0,0,7,20,0,1,3,0,1,80,-46,0,81
"80",80,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",10,81,16,0,17,6,12,25,0,0,0,4,2,3,2,4,0,1,0,9,18,0,0,1,0,0,78,-38,0,86
"81",81,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",18,56,33,0,17,4,8,19,0,2,0,4,1,3,1,4,1,0,0,7,12,0,1,0,2,0,74,-37,0,151
"82",82,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",3,83,19,0,17,4,11,26,0,1,0,3,1,1,7,3,0,1,0,10,15,0,0,2,0,0,74,-61,0,19
"83",83,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",12,79,17,0,17,7,15,27,0,0,0,1,2,1,4,0,0,0,0,5,22,0,0,0,0,0,79,-108,0,100
"84",84,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",19,105,5,0,17,7,7,23,1,0,3,3,3,4,5,3,1,1,0,8,15,1,0,2,0,0,67,-82,0,162
"85",85,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",21,80,19,0,17,4,5,20,1,1,1,3,5,1,2,4,1,0,0,5,16,0,0,1,0,0,71,6,0,178
"86",86,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",16,88,12,0,17,11,12,28,0,0,0,0,2,1,2,2,0,0,0,6,23,0,0,0,0,0,81,-11,0,135
"87",87,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",5,63,27,0,17,4,10,20,1,0,0,2,1,4,4,2,0,0,0,9,11,0,0,0,0,0,79,-69,0,45
"88",88,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",22,75,18,0,17,6,9,22,1,1,0,3,3,2,4,2,1,0,0,8,15,0,0,1,0,0,76,-40,0,189
"89",89,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",15,52,34,0,17,4,7,13,0,0,0,4,0,2,3,2,0,0,0,5,9,0,0,1,0,0,82,-78,0,121
"90",90,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",20,87,14,0,17,9,6,22,0,2,0,3,5,4,2,2,1,1,0,5,17,0,1,0,0,0,76,-66,0,170
"91",91,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",11,87,17,0,17,6,9,21,0,2,0,0,1,3,6,0,2,0,0,11,13,0,1,3,0,0,73,-79,0,96
"92",92,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",4,97,10,0,17,6,15,28,0,0,1,1,0,2,3,2,1,0,0,7,21,0,0,3,0,0,74,-30,0,29
"93",93,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",6,109,4,0,17,3,13,28,0,0,0,4,2,3,5,1,1,0,1,13,15,0,0,0,0,2,79,-15,1,53
"94",94,"Adam","Cooney","Cooney, Adam","Essendon",2016,"Outside midfielder",2,75,21,0,17,5,6,20,0,1,0,4,1,3,4,3,3,1,0,5,15,0,0,0,0,0,80,13,0,12
"95",95,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",1,57,35,1,40,5,5,16,0,0,0,3,1,1,1,2,1,0,0,3,12,1,0,1,1,0,80,-2,0,2
"96",96,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",7,65,25,1,40,5,7,15,0,0,0,3,5,1,1,1,1,0,0,6,7,2,0,0,0,0,88,18,0,61
"97",97,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",6,60,28,1,40,4,7,16,0,0,0,1,2,2,2,2,3,1,0,4,12,0,0,3,0,1,84,75,0,49
"98",98,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",4,78,20,1,40,4,9,17,0,0,0,0,7,1,0,1,1,0,0,4,13,0,0,4,6,0,82,86,0,34
"99",99,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",21,29,42,1,40,1,6,15,0,0,0,1,3,2,1,3,0,0,0,4,11,0,0,0,0,0,58,-1,0,175
"100",100,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",16,11,44,1,40,0,4,6,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,1,0,0,81,-32,0,129
"101",101,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",10,36,40,1,40,5,7,11,0,0,0,1,2,0,0,0,0,0,0,1,11,1,0,1,0,0,76,-22,0,87
"102",102,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",8,63,24,1,40,9,9,19,0,0,0,0,0,4,0,2,0,2,0,1,18,0,1,2,2,0,85,91,0,67
"103",103,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",19,58,32,1,40,6,8,18,1,0,0,2,2,2,1,2,0,1,0,3,15,0,1,1,0,0,79,88,0,155
"104",104,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",9,56,31,1,40,9,5,19,0,0,0,0,2,1,1,4,0,2,0,4,14,0,0,5,2,1,91,25,0,80
"105",105,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",3,54,34,1,40,4,6,14,0,0,0,3,2,2,0,1,1,0,0,2,12,1,0,1,1,0,83,-25,0,22
"106",106,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",18,28,43,1,40,2,3,8,0,1,0,2,0,1,1,1,1,1,0,3,5,0,1,2,0,0,88,19,0,153
"107",107,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",17,83,17,1,40,8,8,20,1,0,0,2,2,3,0,0,0,0,0,4,16,0,1,1,1,1,84,79,0,144
"108",108,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",2,49,36,1,40,5,8,13,0,0,0,1,1,1,0,1,0,0,0,3,10,1,0,1,1,0,86,13,0,16
"109",109,"Adam","Kennedy","Kennedy, Adam","Greater Western Sydney",2016,"General defender",5,27,44,1,40,3,3,8,0,0,0,1,0,0,0,1,0,1,0,0,8,0,0,1,0,0,89,47,0,42
"110",110,"Adam","Marcon","Marcon, Adam","Richmond",2016,"Outside midfielder",19,54,34,0,44,4,7,16,0,0,0,5,5,3,3,6,1,1,0,6,10,0,0,0,0,1,72,-88,0,155
"111",111,"Adam","Marcon","Marcon, Adam","Richmond",2016,"Outside midfielder",20,75,23,0,44,9,8,22,1,0,0,0,0,0,0,2,0,1,0,4,18,1,0,0,0,0,77,15,0,163
"112",112,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",8,95,11,0,43,7,7,22,0,1,0,4,4,4,0,2,1,1,0,5,15,1,1,2,0,1,88,78,0,68
"113",113,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",11,42,40,0,43,4,7,13,0,0,0,2,3,1,0,2,0,1,0,1,10,0,0,3,0,0,77,-67,0,97
"114",114,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",22,40,37,0,43,4,6,12,0,0,0,0,0,1,0,0,0,0,0,2,10,0,0,0,0,0,83,71,0,185
"115",115,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",4,84,15,0,43,4,5,21,0,0,0,1,3,6,0,1,2,0,0,6,16,0,0,4,2,1,78,-35,0,35
"116",116,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",7,51,33,0,43,2,1,11,0,0,0,2,5,1,0,4,2,1,0,2,4,0,0,1,2,0,87,-15,0,56
"117",117,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",21,41,41,0,43,2,3,7,2,0,0,1,0,0,0,1,0,0,0,2,4,1,1,1,0,0,74,-3,0,172
"118",118,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",10,49,41,0,43,5,4,14,0,1,0,2,1,1,0,1,0,0,0,3,10,0,0,1,0,0,78,-21,0,89
"119",119,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",3,118,4,0,43,8,12,25,1,0,0,3,1,6,3,2,0,1,0,13,13,3,0,1,0,1,89,-29,0,20
"120",120,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",5,92,12,0,43,6,7,19,1,0,0,4,6,1,0,0,0,0,0,4,13,2,0,0,1,0,86,69,0,45
"121",121,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",2,62,30,0,43,8,7,21,0,0,1,2,2,3,1,3,0,1,0,5,15,0,0,3,0,0,83,1,0,10
"122",122,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",6,90,11,0,43,3,11,24,0,0,0,4,5,0,2,2,0,0,0,6,13,0,0,0,0,0,86,-62,0,54
"123",123,"Adam","Oxley","Oxley, Adam","Collingwood",2016,"General defender",9,47,40,0,43,6,4,14,0,0,0,3,3,4,0,3,0,1,0,3,11,0,0,0,0,0,81,24,0,74
"124",124,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",3,82,19,0,42,7,9,19,0,0,0,4,3,1,0,1,1,0,0,6,15,0,0,1,3,0,89,54,0,23
"125",125,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",22,67,26,0,42,2,7,16,0,0,0,3,3,0,0,2,1,1,0,5,12,1,0,3,4,0,85,-71,0,185
"126",126,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",7,76,21,0,42,3,7,15,0,1,0,2,8,0,1,1,0,0,0,5,7,0,0,2,10,1,89,-73,0,59
"127",127,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",1,77,19,0,42,6,8,15,0,1,0,3,3,3,0,0,0,0,0,4,11,1,0,4,6,0,79,61,0,3
"128",128,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",23,72,25,0,42,7,8,20,0,0,0,3,3,5,1,6,1,2,0,3,19,0,0,3,7,0,80,-23,0,195
"129",129,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",8,43,38,0,42,1,3,9,0,0,0,1,2,1,0,0,0,0,0,2,5,0,0,1,8,0,41,-91,0,67
"130",130,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",21,60,32,0,42,3,5,12,0,0,0,1,2,2,0,0,1,0,0,3,9,0,0,3,0,0,72,-6,0,178
"131",131,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",5,85,17,0,42,3,8,15,0,0,0,2,4,2,1,1,0,0,0,7,7,0,0,2,5,1,69,-38,0,39
"132",132,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",4,68,24,0,42,3,10,15,0,0,0,5,5,0,0,3,1,2,0,7,7,0,0,2,4,0,86,-13,0,31
"133",133,"Adam","Saad","Saad, Adam","Gold Coast",2016,"General defender",2,71,22,0,42,1,11,15,0,0,0,1,3,2,0,1,0,0,0,7,8,0,0,2,8,0,82,26,0,15
"134",134,"Adam","Tomlinson","Tomlinson, Adam","Greater Western Sydney",2016,"Key defender",1,48,38,0,20,4,3,9,0,1,0,2,0,2,0,2,0,1,0,4,6,1,2,4,0,0,88,-2,0,2
"135",135,"Adam","Tomlinson","Tomlinson, Adam","Greater Western Sydney",2016,"Key defender",4,54,35,0,20,4,4,9,0,0,1,4,0,3,0,1,0,0,0,2,6,1,0,1,0,1,84,86,0,34
